temperature,sample,treatment_type,type,np_DW,
0,C1,control,NP,1017.4695,1017.4695
0,C2,control,NP,1439.064,1439.064
0,C3,control,NP,918.1772,918.1772
0,C4,control,NP,775.3383,775.3383
0,T3,treatment,NP,-235.6438,-235.6438
0,T4,treatment,NP,-377.148,-377.148
0,T5,treatment,NP,-133.9703,-133.9703
0,T6,treatment,NP,-25.2688,-25.2688
5,C1,control,NP,915.4902,915.4902
5,C2,control,NP,1597.6478,1597.6478
5,C3,control,NP,2002.9524,2002.9524
5,C4,control,NP,2075.961,2075.961
5,T3,treatment,NP,470.1709,470.1709
5,T4,treatment,NP,131.5834,131.5834
5,T5,treatment,NP,1035.8349,1035.8349
5,T6,treatment,NP,383.3085,383.3085
10,C1,control,NP,2962.6131,2085.29
10,C2,control,NP,3672.0487,2437.6857
10,C3,control,NP,1728.8578,1728.8578
10,C4,control,NP,2538.8023,2538.8023
10,T3,treatment,NP,2252.45,2252.45
10,T4,treatment,NP,1311.8087,1311.8087
10,T5,treatment,NP,354.3973,354.3973
10,T6,treatment,NP,190.8122,190.8122
15,C1,control,NP,1392.2304,1392.2304
15,C2,control,NP,2437.6857,2437.6857
15,C3,control,NP,2574.5253,2574.5253
15,C4,control,NP,2754.5788,2754.5788
15,T3,treatment,NP,1348.5188,1348.5188
15,T4,treatment,NP,695.1973,695.1973
15,T5,treatment,NP,1045.3878,1045.3878
15,T6,treatment,NP,466.4756,466.4756
20,C1,control,NP,719.0415,719.0415
20,C2,control,NP,1502.0747,1502.0747
20,C3,control,NP,1656.3186,1656.3186
20,C4,control,NP,1598.6308,1598.6308
20,T3,treatment,NP,2185.2535,2185.2535
20,T4,treatment,NP,-182.7607,-182.7607
20,T5,treatment,NP,342.8188,342.8188
20,T6,treatment,NP,-200.1909,-200.1909
25,C1,control,NP,53.8595,53.8595
25,C2,control,NP,629.5324,629.5324
25,C3,control,NP,632.9163,632.9163
25,C4,control,NP,1032.6367,1032.6367
25,T3,treatment,NP,455.5256,455.5256
25,T4,treatment,NP,-629.4208,-629.4208
25,T5,treatment,NP,-170.7531,-170.7531
25,T6,treatment,NP,-366.5318,-366.5318
0,C1,control,DR,-710.8557,-403.0252
0,C2,control,DR,-637.9823,-159.3927
0,C3,control,DR,-1252.6984,-537.4041
0,C4,control,DR,-1286.122,-539.8343
0,T3,treatment,DR,-1302.7571,-471.2854
0,T4,treatment,DR,-1138.7658,-1001.4553
0,T5,treatment,DR,-1346.9166,-266.2867
0,T6,treatment,DR,-1023.1084,-1023.1084
5,C1,control,DR,-1463.4024,-508.6057
5,C2,control,DR,-1329.9926,-747.0633
5,C3,control,DR,-1690.7317,-781.8189
5,C4,control,DR,-1766.4798,-776.836
5,T3,treatment,DR,-1648.9907,-1410.5135
5,T4,treatment,DR,-1409.3274,-759.0284
5,T5,treatment,DR,-1687.4218,-957.0049
5,T6,treatment,DR,-1679.0097,-1527.0143
10,C1,control,DR,-638.355,-324.737
10,C2,control,DR,-851.7803,-1505.0705
10,C3,control,DR,-2318.4165,-1186.6571
10,C4,control,DR,-2212.8322,-1228.5574
10,T3,treatment,DR,-2741.2653,-87.3632
10,T4,treatment,DR,-2521.5568,-344.2844
10,T5,treatment,DR,-2622.2996,-2031.157
10,T6,treatment,DR,-2594.7775,0
15,C1,control,DR,-2174.5227,-1642.0917
15,C2,control,DR,-2164.9734,-1505.0705
15,C3,control,DR,-3206.7518,-1922.5688
15,C4,control,DR,-2711.7309,-1999.5158
15,T3,treatment,DR,-3207.6658,-1687.3821
15,T4,treatment,DR,-2966.0438,-2100.7446
15,T5,treatment,DR,-3667.6557,-1215.1149
15,T6,treatment,DR,-3790.406,-2391.3491
20,C1,control,DR,-2467.3605,-1708.8397
20,C2,control,DR,-2530.6951,-2530.6951
20,C3,control,DR,-4387.5159,-2169.5906
20,C4,control,DR,-3886.2428,-1350.8578
20,T3,treatment,DR,-4473.586,-1752.7508
20,T4,treatment,DR,-3878.0698,-551.6055
20,T5,treatment,DR,-4909.4446,-1514.1728
20,T6,treatment,DR,-5378.0147,-1693.5711
25,C1,control,DR,-3802.1212,-2269.797
25,C2,control,DR,-3510.3409,-3510.3409
25,C3,control,DR,-5178.5263,-2318.9628
25,C4,control,DR,-5266.3901,-2679.4005
25,T3,treatment,DR,-6398.7261,-3503.6878
25,T4,treatment,DR,-6129.4017,-599.9032
25,T5,treatment,DR,-6584.0638,-694.1495
25,T6,treatment,DR,-6360.6909,-2249.6552
0,C1,control,GP,1728.3252,1420.4947
0,C2,control,GP,2077.0463,1598.4567
0,C3,control,GP,2170.8756,1455.5813
0,C4,control,GP,2061.4603,1315.1726
0,T3,treatment,GP,1067.1133,706.9292
0,T4,treatment,GP,761.6178,1378.6033
0,T5,treatment,GP,1212.9463,400.257
0,T6,treatment,GP,997.8396,1048.3772
5,C1,control,GP,2378.8926,1424.0959
5,C2,control,GP,2927.6404,2344.7111
5,C3,control,GP,3693.6841,2784.7713
5,C4,control,GP,3842.4408,2852.797
5,T3,treatment,GP,2119.1616,1880.6844
5,T4,treatment,GP,1540.9108,890.6118
5,T5,treatment,GP,2723.2567,1992.8398
5,T6,treatment,GP,2062.3182,1910.3228
10,C1,control,GP,3600.9681,2410.027
10,C2,control,GP,4523.829,3942.7562
10,C3,control,GP,4047.2743,2915.5149
10,C4,control,GP,4751.6345,3767.3597
10,T3,treatment,GP,5340.9399,2339.8132
10,T4,treatment,GP,3833.3655,1656.0931
10,T5,treatment,GP,2976.6969,2385.5543
10,T6,treatment,GP,2785.5897,190.8122
15,C1,control,GP,3566.7531,3034.3221
15,C2,control,GP,4602.6591,3942.7562
15,C3,control,GP,5781.2771,4497.0941
15,C4,control,GP,5466.3097,4754.0946
15,T3,treatment,GP,4556.1846,3035.9009
15,T4,treatment,GP,3661.2411,2795.9419
15,T5,treatment,GP,4713.0435,2260.5027
15,T6,treatment,GP,4256.8816,2857.8247
20,C1,control,GP,3186.402,2427.8812
20,C2,control,GP,4032.7698,4032.7698
20,C3,control,GP,6043.8345,3825.9092
20,C4,control,GP,5484.8736,2949.4886
20,T3,treatment,GP,6658.8395,3938.0043
20,T4,treatment,GP,3695.3091,734.3662
20,T5,treatment,GP,5252.2634,1856.9916
20,T6,treatment,GP,5177.8238,1893.762
25,C1,control,GP,3855.9807,2323.6565
25,C2,control,GP,4139.8733,4139.8733
25,C3,control,GP,5811.4426,2951.8791
25,C4,control,GP,6299.0268,3712.0372
25,T3,treatment,GP,6854.2517,3959.2134
25,T4,treatment,GP,5499.9809,1229.324
25,T5,treatment,GP,6413.3107,864.9026
25,T6,treatment,GP,5994.1591,2616.187