sample,treatment_type,weight_all_wet,weight_all_dry,weight_basket,dry_weight,wet_weight,surface_area,WHC,STM
T1,treatment,6.011,5.7102,5.5115,0.1987,0.4995,13.743,0.02188750637,0.01445826966
T2,treatment,6.1732,5.7427,5.5546,0.1881,0.6186,12.902,0.03336691986,0.01457913502
T3,treatment,6.1141,5.7293,5.5184,0.2109,0.5957,16.757,0.02296353763,0.01258578505
T4,treatment,6.5585,5.898,5.5649,0.3331,0.9936,17.474,0.03779901568,0.0190626073
T5,treatment,6.0711,5.6814,5.4853,0.1961,0.5858,16.559,0.02353402983,0.01184250257
T6,treatment,5.9319,5.6935,5.5727,0.1208,0.3592,9.24,0.0258008658,0.01307359307
T7,treatment,6.0284,5.6962,5.5165,0.1797,0.5119,14.663,0.02265566392,0.01225533656
T8,treatment,6.1536,5.7331,5.5323,0.2008,0.6213,16.848,0.02495845204,0.01191832858
T9,treatment,6.0871,5.6937,5.5064,0.1873,0.5807,15.173,0.02592763461,0.01234429579
T10,treatment,5.9351,5.7081,5.5368,0.1713,0.3983,12.066,0.0188131941,0.01419691696
C1,control,5.9166,5.659,5.486,0.173,0.4306,13.216,0.01949152542,0.0130901937
C2,control,6.3674,5.7881,5.5619,0.2262,0.8055,16.616,0.03486398652,0.01361338469
C4,control,5.9849,5.6944,5.5085,0.1859,0.4764,13.766,0.02110271684,0.01350428592
C5,control,6.0906,5.764,5.5375,0.2265,0.5531,22.496,0.01451813656,0.01006845661
C6,control,5.9625,5.7151,5.5928,0.1223,0.3697,10.428,0.02372458765,0.01172803989
C7,control,5.9018,5.6776,5.4701,0.2075,0.4317,14.857,0.01509052972,0.01396648045
C8,control,6.3302,5.7998,5.5188,0.281,0.8114,22.906,0.02315550511,0.01226752816
C9,control,6.2513,5.7504,5.499,0.2514,0.7523,18.968,0.02640763391,0.01325390131
C10,control,5.9422,5.6994,5.5715,0.1279,0.3707,11.811,0.02055710778,0.01082888832
C11,control,6.0741,5.6802,5.5111,0.1691,0.563,15.443,0.02550670207,0.01094994496
C12,control,6.5811,5.8857,5.5384,0.3473,1.0427,31.605,0.02200284765,0.0109887676
C13,control,6.423,5.8754,5.5097,0.3657,0.9133,27.882,0.01963991105,0.01311598881
C1_old,control,6.756005781,,5.958,0.4011,0.798005781,17.413,0.02279364733,0.02303451444
C2_old,control,6.608678318,,5.897,0.3823,0.711678318,18.49,0.01781386252,0.0206760411
C3_old,control,6.468773385,,5.8582,0.2978,0.610573385,13.959,0.02240657533,0.02133390644
C4_old,control,6.697145854,,5.9538,0.3882,0.743345854,18.543,0.01915255644,0.02093512377
T3_old,treatment,6.090482985,,5.702,0.168,0.388482985,8.833,0.02496127986,0.01901958564
T4_old,treatment,6.386758152,,5.8645,0.3089,0.522258152,14.832,0.01438498867,0.02082659115
T5_old,treatment,6.552528737,,5.8814,0.2961,0.671128737,15.506,0.02418604005,0.01909583387
T6_old,treatment,6.151995447,,5.7558,0.2099,0.396195447,9.936,0.01874954177,0.02112520129