sample,wave_648,wave_665,wave_700,dilution_factor,mL_DMSO,chlorophyll_content_ug,type,weight,chl_dw,treatment_type
C1,0.186,0.37,0.038,1,8,26.57944,C,0.173,153.6383815,Control
C2,0.278,0.509,0.118,1,8,28.99182,C,0.2262,128.1689655,Control
C4,0.161,0.347,0.038,1,8,22.35498,C,0.1859,120.2527165,Control
C6,0.129,0.231,0.055,1,8,13.36992,C,0.1223,109.3206868,Control
C7,0.193,0.377,0.06,1,8,24.03514,C,0.2075,115.832,Control
C8,0.272,0.51,0.093,1,8,32.27074,C,0.281,114.8424911,Control
C9,0.242,0.447,0.088,1,8,27.76558,C,0.2514,110.4438345,Control
C10,0.125,0.244,0.042,1,8,15.03284,C,0.1279,117.5358874,Control
C11,0.182,0.34,0.063,1,8,21.45194,C,0.1691,126.8594914,Control
C12,0.353,0.732,0.096,1,8,46.63192,C,0.3473,134.2698532,Control
C13,0.337,0.675,0.101,1,12,61.80988,C,0.3657,169.0179929,Control
T1,0.182,0.39,0.054,1,8,23.37952,T,0.1987,117.6624056,Treatment
T2,0.162,0.348,0.047,1,8,20.99802,T,0.1881,111.6322169,Treatment
T3,0.175,0.337,0.064,1,8,20.12706,T,0.2109,95.4341394,Treatment
T4,0.183,0.341,0.062,1,8,21.79118,T,0.3331,65.41933353,Treatment
T5,0.1,0.205,0.036,1,8,11.69778,T,0.1961,59.65211627,Treatment
T6,0.146,0.357,0.029,1,8,21.53776,T,0.1208,178.2927152,Treatment
T7,0.115,0.212,0.046,1,8,12.48172,T,0.1797,69.45865331,Treatment
T8,0.173,0.341,0.06,1,8,20.51442,T,0.2008,102.1634462,Treatment
T9,0.125,0.285,0.028,1,8,17.73634,T,0.1873,94.69482114,Treatment
T10,0.099,0.181,0.044,1,8,9.98674,T,0.1713,58.29970811,Treatment